1 1:2 2:50 3:12500 4:98
1 2:13 3:3250 4:28
1 1:1 2:16 3:4000 4:35
1 1:2 2:20 3:5000 4:45
-1 1:1 2:24 3:6000 4:77
-1 1:4 2:4 3:1000 4:4
1 1:2 2:7 3:1750 4:14
-1 1:1 2:12 3:3000 4:35
1 1:2 2:9 3:2250 4:22
1 1:5 2:46 3:11500 4:98
-1 1:4 2:23 3:5750 4:58
-1 2:3 3:750 4:4
1 1:2 2:10 3:2500 4:28
-1 1:1 2:13 3:3250 4:47
1 1:2 2:6 3:1500 4:15
1 1:2 2:5 3:1250 4:11
1 1:2 2:14 3:3500 4:48
1 1:2 2:15 3:3750 4:49
1 1:2 2:6 3:1500 4:15
1 1:2 2:3 3:750 4:4
1 1:2 2:3 3:750 4:4
-1 1:4 2:11 3:2750 4:28
1 1:2 2:6 3:1500 4:16
1 1:2 2:6 3:1500 4:16
-1 1:9 2:9 3:2250 4:16
-1 1:4 2:14 3:3500 4:40
-1 1:4 2:6 3:1500 4:14
1 1:4 2:12 3:3000 4:34
1 1:4 2:5 3:1250 4:11
-1 1:4 2:8 3:2000 4:21
-1 1:1 2:14 3:3500 4:58
1 1:4 2:10 3:2500 4:28
1 1:4 2:10 3:2500 4:28
1 1:4 2:9 3:2250 4:26
-1 1:2 2:16 3:4000 4:64
1 1:2 2:8 3:2000 4:28
1 1:2 2:12 3:3000 4:47
1 1:4 2:6 3:1500 4:16
1 1:2 2:14 3:3500 4:57
1 1:4 2:7 3:1750 4:22
1 1:2 2:13 3:3250 4:53
-1 1:2 2:5 3:1250 4:16
1 1:2 2:5 3:1250 4:16
-1 1:2 2:5 3:1250 4:16
1 1:4 2:20 3:5000 4:69
1 1:4 2:9 3:2250 4:28
-1 1:2 2:9 3:2250 4:36
-1 1:2 2:2 3:500 4:2
-1 1:2 2:2 3:500 4:2
-1 1:2 2:2 3:500 4:2
-1 1:2 2:11 3:2750 4:46
1 1:2 2:11 3:2750 4:46
-1 1:2 2:6 3:1500 4:22
-1 1:2 2:12 3:3000 4:52
1 1:4 2:5 3:1250 4:14
1 1:4 2:19 3:4750 4:69
1 1:4 2:8 3:2000 4:26
1 1:2 2:7 3:1750 4:28
-1 1:2 2:16 3:4000 4:81
-1 1:3 2:6 3:1500 4:21
-1 1:2 2:7 3:1750 4:29
1 1:2 2:8 3:2000 4:35
-1 1:2 2:10 3:2500 4:49
1 1:4 2:5 3:1250 4:16
1 1:2 2:3 3:750 4:9
-1 1:3 2:16 3:4000 4:74
1 1:2 2:4 3:1000 4:14
-1 2:2 3:500 4:4
-1 1:4 2:7 3:1750 4:25
-1 1:1 2:9 3:2250 4:51
-1 1:2 2:4 3:1000 4:16
-1 1:2 2:4 3:1000 4:16
1 1:4 2:17 3:4250 4:71
-1 1:2 2:2 3:500 4:4
1 1:2 2:2 3:500 4:4
1 1:2 2:2 3:500 4:4
1 1:2 2:4 3:1000 4:16
-1 1:2 2:2 3:500 4:4
-1 1:2 2:2 3:500 4:4
-1 1:2 2:2 3:500 4:4
1 1:4 2:6 3:1500 4:23
-1 1:2 2:4 3:1000 4:16
-1 1:2 2:4 3:1000 4:16
-1 1:2 2:4 3:1000 4:16
1 1:2 2:6 3:1500 4:28
-1 1:2 2:6 3:1500 4:28
-1 1:4 2:2 3:500 4:4
-1 1:4 2:2 3:500 4:4
-1 1:4 2:2 3:500 4:4
1 1:2 2:7 3:1750 4:35
1 1:4 2:2 3:500 4:4
-1 1:4 2:2 3:500 4:4
-1 1:4 2:2 3:500 4:4
-1 1:4 2:2 3:500 4:4
-1 1:12 2:11 3:2750 4:23
-1 1:4 2:7 3:1750 4:28
-1 1:3 2:17 3:4250 4:86
1 1:4 2:9 3:2250 4:38
1 1:4 2:4 3:1000 4:14
1 1:5 2:7 3:1750 4:26
1 1:4 2:8 3:2000 4:34
1 1:2 2:13 3:3250 4:76
-1 1:4 2:9 3:2250 4:40
-1 1:2 2:5 3:1250 4:26
-1 1:2 2:5 3:1250 4:26
-1 1:6 2:17 3:4250 4:70
-1 2:8 3:2000 4:59
-1 1:3 2:5 3:1250 4:26
-1 1:2 2:3 3:750 4:14
-1 1:2 2:10 3:2500 4:64
1 1:4 2:5 3:1250 4:23
-1 1:4 2:9 3:2250 4:46
-1 1:4 2:5 3:1250 4:23
1 1:4 2:8 3:2000 4:40
-1 1:2 2:12 3:3000 4:82
-1 1:11 2:24 3:6000 4:64
1 1:2 2:7 3:1750 4:46
-1 1:4 2:11 3:2750 4:61
-1 1:1 2:7 3:1750 4:57
1 1:2 2:11 3:2750 4:79
1 1:2 2:3 3:750 4:16
1 1:4 2:5 3:1250 4:26
1 1:2 2:6 3:1500 4:41
1 1:2 2:5 3:1250 4:33
-1 1:2 2:4 3:1000 4:26
-1 1:2 2:5 3:1250 4:34
